date,min,max,median,q1,q3,stdev,count
2020-09-30T00:00:00.000Z,1.42,9.6,5.35,3.28,7.35,2.261,391
2020-10-01T00:00:00.000Z,1.42,8.55,5.92,3.6,7.25,2.091,300
2020-10-02T00:00:00.000Z,5.57,16.52,11.93,8.8,12.95,2.39,274
2020-10-03T00:00:00.000Z,5.8,23.62,13.93,9.69,17.87,4.367,251
2020-10-04T00:00:00.000Z,6.43,22.55,16.6,13.23,18.42,3.074,317
2020-10-05T00:00:00.000Z,0.5,9.3,2.02,1.12,4.37,2.148,322
2020-10-06T00:00:00.000Z,1.4,27.48,2.9,2.2,8.75,6.767,338
2020-10-07T00:00:00.000Z,1,12.2,1.83,1.55,2.27,1.046,335
2020-10-08T00:00:00.000Z,0.73,4.05,1.6,1.27,2.29,0.654,313
2020-10-09T00:00:00.000Z,0.4,3.3,1.12,0.82,1.62,0.61,342
2020-10-10T00:00:00.000Z,0.5,3.9,1.67,1.33,2,0.489,417
2020-10-11T00:00:00.000Z,0.5,7.53,1,0.8,1.23,0.568,430
2020-10-12T00:00:00.000Z,0.1,1.6,0.4,0.27,0.56,0.253,338
2020-10-13T00:00:00.000Z,0.2,1.37,0.56,0.5,0.63,0.163,400
2020-10-14T00:00:00.000Z,0.2,1.2,0.56,0.47,0.67,0.165,390
2020-10-15T00:00:00.000Z,0.1,2.27,0.56,0.5,0.7,0.233,396
2020-10-16T00:00:00.000Z,0.1,2.29,0.67,0.4,1.07,0.475,425
2020-10-17T00:00:00.000Z,0.2,2.97,0.7,0.5,0.9,0.35,415
2020-10-18T00:00:00.000Z,0.2,1.7,0.5,0.4,0.6,0.177,422
2020-10-19T00:00:00.000Z,0.2,2.6,0.5,0.4,0.8,0.311,435
2020-10-20T00:00:00.000Z,0.4,11.23,1,0.8,1.89,1.707,440
2020-10-21T00:00:00.000Z,6,18.64,12.83,8.68,15.15,3.568,424
2020-10-22T00:00:00.000Z,0.2,10.23,1.52,0.7,2.6,2.204,404
2020-10-23T00:00:00.000Z,0.1,4,1.1,0.5,2,0.957,409
2020-10-24T00:00:00.000Z,0.83,6.3,1.87,1.6,2.33,0.925,419
2020-10-25T00:00:00.000Z,0.23,9.52,4.03,1.5,5.15,2.113,467
2020-10-26T00:00:00.000Z,0.53,27.45,4.43,1.88,9.8,6.916,470
